:	Dot	-	-	Group	Group	Group	Group	Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	Chelonia_mydas	FMNH22066	Reptilia	Testudines	Recent	Flippered	(Almost) Fully Aquatic	Vitt and Caldwell 2014, p. 531: Cheloniidae	Flippered	All crown chelonioids (“sea turtles”) were scored as having fully flippered fore- and hindlimbs, following Wyneken 2001. This was supported by direct observation of fluid-preserved specimen YPM_R_02957 (Caretta_caretta).	-0.286884269187279	0.187202959034604	-0.265386387878302	0.215244396128744	-0.156154188201803	0.224555032824836	-0.064769619175349	0.214754170892773	-0.033489684469224	0.206727329643974	0.0413585696304461	0.182805417995234	0.361859510384916	0.050566666906676	0.331078422455975	0.0156254951145774	0.251046257112005	-0.151997199903791	0.0881784009347786	-0.199519946349966	0.0506621300133875	-0.202371239747945	0.0463424700776935	-0.201163586514846	-0.0612140391497588	-0.182810390980804	-0.134108313926288	-0.190484303849689	-0.168519258621197	-0.169134801194376	
Black	Dot	Chelus_fimbriatus	YPM HERR 11225	Reptilia	Testudines	Recent	Non-flippered	(Almost) Fully Aquatic	Vitt and Caldwell 2014, p. 528: Chelidae	Webbed	PENDING	-0.257290462700884	0.098047837991895	-0.242193527568713	0.122724555459694	-0.107509014360684	0.159465211422335	-0.067832451529571	0.170889155759102	0.044322676809431	0.251861833698705	0.109419599220199	0.251649908487119	0.315914116784183	0.0643290303683879	0.316516930907869	0.0613066522299116	0.302667253959993	-0.0661068607916823	0.148984356514507	-0.231976627404268	0.0629090141615984	-0.257419338956372	-0.0592754849202206	-0.202052969462003	-0.10553556985449	-0.182102899331683	-0.228656113775998	-0.13670932551532	-0.232441323647219	-0.103906163955821	
Black	Dot	Choeropsis_liberiensis	AMNH 202423	Mammalia	Ungulata	Recent	Non-flippered	Moderately Aquatic	The Pygmy Hippopotamus (Choeropsis liberiensis) might be considered less aquatic than its larger counterpart (Hippopotamus amphibius), as it gives birth on land—although less is known about its natural history (Ransom et al. 2015). However, its range is limited to marshes and water courses, and it still spends extensive time in an aquatic medium, foraging for semi-aquatic plants, suckling pups, and (in some cases at least) copulating in the water. As a result, we consider this species Moderately Aquatic.	Webbed	Hippopotamids were scored using fluid-preserved Choeropsis specimens AMNH_214396 and AMNH_146608, which had very slight webbing between D3 and D4.	-0.212208635009218	0.143682195217088	-0.18739717376226	0.19081770477112	-0.11818747530384	0.20008821580794	-0.0565797710689932	0.207370216623059	-0.0527941737222915	0.207329924423261	0.0161386223579736	0.214244406167836	0.216496951982132	0.142266084587538	0.347363708738716	-0.0267455757073798	0.408752178928753	-0.17040158308162	0.112294441026726	-0.194550056730387	0.0965350640938904	-0.222633697681556	-0.00117367002909182	-0.224173080738898	-0.1215345178378	-0.2014297507495	-0.222066852885058	-0.144733003501191	-0.225638697509636	-0.121131999407313	
Black	Dot	Claudiosaurus_germaini	MAP1a_1978-6-1	Reptilia	Stem reptiles	Fossil, original	Non-flippered	Data Deficient	Morphological features suggest that Claudiosaurus had an aquatic lifestyle (Carroll 1981; Sues 2019, p. 41). However, it retains well-developed jointed appendages, and it remains unclear whether and to what extent it traversed on land. As a result, we cannot resolve whether this taxon was Moderately or Highly Aquatic.	Unclear, aquat.	NA	-0.228481406316199	0.191196151214947	-0.208944203110367	0.218906590732214	-0.06268642575911	0.272636088025049	0.0102891347941019	0.289021129747127	0.0205193473773315	0.290129561483521	0.0693726983711451	0.273872049647544	0.166740248367758	0.200285003584355	0.217119129783844	-0.0208858457864458	0.226545315115491	-0.142799355776033	0.159918715340848	-0.287396492203004	-0.000746109319026897	-0.295143164023029	-0.016464724139139	-0.29359114576957	-0.0648426224633956	-0.275586715366493	-0.140211863005187	-0.244287241511576	-0.148127235038096	-0.176356613998606	
Black	Dot	Condylura_cristata	AMNH 48051	Mammalia	Eulipotyphla	Recent	Non-flippered	Moderately Aquatic	Petersen and Yates 1980; Reid 2006 (Star-Nosed Mole: pp. 389–390): This talpid is an eager and excellent swimmer, and often has a diet often consisting primarily of aquatic prey. It typically inhabits swamps, streams, or the wetter regions of woods or meadows. However, it seems to spend extensive time on land as well, foraging commonly (and, in some cases, primarily) for terrestrial prey, and building nests far above the water line using terrestrial vegetation. As a result, we consider this species Moderately Aquatic.	Unwebbed	Skin specimens YPM_04525 and YPM_02199: hands unwebbed but with stiff paradigital scales; feet partially webbed	-0.315395170640172	0.0553403410821303	-0.312452061548135	0.106429050246313	-0.174798046206584	0.174896915914206	0.06237699318034	0.126048695052375	0.0675824705997357	0.125972953688396	0.080985906045776	0.101480293700658	0.32773202840258	0.0702397498964685	0.446013757177398	0.0157542321784791	0.416262235980937	-0.0129282603791315	0.123114768923599	-0.0983048502025146	0.0869061822067488	-0.129161295257946	-0.0497713350332555	-0.152118948422172	-0.175634847058933	-0.150683048670533	-0.284388340461098	-0.122184539245824	-0.298534541568939	-0.110781289580904	
Black	Dot	Corytophanes_cristatus	YPM_R_15185	Reptilia	Lepidosauromorpha	Recent	Non-flippered	Terrestrial	Vitt and Caldwell, p. 590: Corytophanidae; Bolívar et al. 2016: These lizards are described as a highly arboreal species occupying terrestrial habitats. 	Unwebbed	PENDING	-0.173811674922624	0.0560420904384913	-0.181146179206735	0.0997669076347031	-0.0501073217348673	0.19980021135229	0.0555323357439123	0.266377100633179	0.0613838273090756	0.266499547917531	0.134201541574246	0.265432808413821	0.261222167935759	0.177274389645695	0.263025001752718	0.168295864977657	0.262872042848081	-0.109540734358394	0.0687634796534546	-0.273720571852225	0.0171540882147667	-0.282244265898773	-0.0815011996435717	-0.25108403297402	-0.105186243348873	-0.250290758171567	-0.267304039749252	-0.177381963167604	-0.265097826426089	-0.155226594590786	
Black	Dot	Cryptobranchus_alleganiensis	YPM A 11881	Outgroups	Outgroups	Recent, original skeleton	Non-flippered	(Almost) Fully Aquatic	Browne et al. 2014; Vitt and Caldwell 2014 (Cryptobranchidae, pp. 459–460); IUCN SSC Amphibian Specialist Group 2022: Cryptobranchids are fully aquatic salamanders that reproduce, spawn, metamorphose, and spend most if not all of their time as an adult submerged. It respires primarily through its skin in the water. The major staple of its diet is freshwater crayfish, and while it can presumably leave the water for vanishingly short periods, we find no reports of extensive overland travel. 	Unwebbed	PENDING	-0.21328313440606	0.0474992511572944	-0.219434248832876	0.211735672975806	-0.0628919486186259	0.250753379405001	-0.0518382052347774	0.263883284162121	-0.0456092697447957	0.263687861937416	0.158003243564304	0.26985357471464	0.311770654591593	0.170080925171303	0.296435064358495	0.00164260330230048	0.220061411436964	-0.113705997002751	0.0453889323960241	-0.224756877042664	-0.00295830574426308	-0.250311476144699	-0.0720192962106025	-0.22606660893901	-0.0918474492526641	-0.230885369752857	-0.131953842252195	-0.227924782916913	-0.139823606050521	-0.205485441026988	
Black	Dot	Cuora_galbinifrons	YPM HERR 17246	Reptilia	Testudines	Recent	Non-flippered	Terrestrial	Xiao et al. 2017	Webbed	PENDING	-0.211725148771328	0.10650520535167	-0.216483535398822	0.20954193739064	-0.0745688342195281	0.222511251375286	0.0447989528181401	0.259387966553771	0.0520398552143564	0.261108356564442	0.121858222340979	0.26510162975293	0.300502772157721	0.182719812167958	0.268865636965293	0.0464675429764988	0.196854926490268	-0.0926050309372285	0.0208399866917496	-0.202036753108551	-0.00752214606222721	-0.243415529210609	-0.0164657683657071	-0.243836199363675	-0.104454310757283	-0.24600587958528	-0.172445948695884	-0.265127011609373	-0.202094660407727	-0.260317298318477	
Black	Dot	Cuora_galbinifrons	YPM HERR 17245	Reptilia	Testudines	Recent	Non-flippered	Moderately Aquatic	Xiao et al. 2017	Webbed	PENDING	-0.287870180225465	0.0689023166518111	-0.266253465075921	0.100944307919263	-0.0529771727839426	0.164641966190555	0.00787517987897986	0.199124629077624	0.0127689968570165	0.199605376555361	0.324686834312689	0.266706366665026	0.324349302776179	0.179517736936941	0.279619571573581	0.0291417839349997	0.212660181059732	-0.0590381217059433	0.126859955698133	-0.13855166775535	0.0715125727172684	-0.188480050632981	-0.081097915772654	-0.226227059445664	-0.152862931819537	-0.229787037918339	-0.251180075312028	-0.195474481884913	-0.268090853884029	-0.171026064588388	
Black	Dot	Cystophora_cristata	AMNH 100135	Mammalia	Ferae	Recent	Flippered	Highly Aquatic	Berta 2008; Bowen 2008: Pinnipeds are highly adapted to aquatic life, and spend most of their time in the water. They are active swimmers and dive to forage for their exclusively aquatic prey. However, they also routinely haul onto land to rest, bask, and (in some species more than others) court and breed. As a result, we consider all pinnipeds Highly Aquatic.	Flippered	All pinnipeds were scored as having fully flippered fore- and hindlimbs, following Cooper 2008, Encyclopedia of Marine Mammals entries on limb anatomy. This scoring was supported by direct observation of Zalophus and Phoca specimens (YPM 03329: Phoca vitulina concolor, skin; AMNH 201648: Zalophus californianus, fluid-preserved).	-0.290824481454699	0.045847126712177	-0.278989981149278	0.0845930947347623	-0.0378437312474248	0.206753301441619	0.0115593684856426	0.214664745615112	0.017041086499091	0.215319503125435	0.319433892811167	0.234067505326414	0.364934000042572	0.168446161640009	0.289154414092353	0.0653766552085103	0.176164228999684	-0.0397036735721232	0.043936712802342	-0.181250193281563	0.0296587008722652	-0.201883175445158	0.00149607543258323	-0.210883957609893	-0.123707891992948	-0.216588136432045	-0.252284664668462	-0.20858432450983	-0.269727729524887	-0.176174632953426	
