:,-,,String,String,Group,String,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Black,Dot,0,Clade,Subclade,LT2,TWS.for.this.element,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,
Gold,Fill square,Larus_novae_pD2_slant2,Reptiles,Birds,Webbed,4,-0.31898074098946,-0.000143324655766941,-0.271594126903389,-0.0324723175113668,-0.155369447548133,-0.0921950644644869,0.0212508898365549,-0.105336219722431,0.16116013948953,-0.106317585534303,0.266323712560254,-0.0912508866177487,0.329673766207836,-0.075078845946267,0.340915245169959,-0.0587263203101382,0.334186331838787,0.0157956836484355,0.332427573273526,0.10481083868826,0.205960896926784,0.101685521660561,0.0671858010062494,0.120030193500452,0.0440206548405554,0.102478381449884,0.0287624038808732,0.0817306634383598,-0.0229623129202169,0.0559911791418881,-0.118029088163242,0.0349573002072628,-0.222724959510222,0.0239069920977027,-0.294822549961126,0.0106080958444495,
Tomato,Fill square,Leptotilos_crumeniferus_pD2,Reptiles,Birds,Unwebbed,1,-0.359758945542108,0.00466479391342925,-0.315684818330659,-0.0389199854055322,-0.183414505875337,-0.10559098818247,-0.000974515623114581,-0.118002238314487,0.134246418928058,-0.0916546013039201,0.230898307701446,-0.0600508483444597,0.292954625485335,-0.0649513912734661,0.302857141499509,-0.0536015290744325,0.284431979700222,0.0257392007557839,0.287923868691673,0.101552985766189,0.210612468662527,0.0995569002563211,0.117071624391387,0.114369309399524,0.0831161051764323,0.116236521208559,0.0555768164744292,0.106399864790094,-0.00284325872641877,0.068043980839994,-0.108534770309555,0.0164978236655523,-0.235316293232504,-0.00728614714698801,-0.327191134332993,0.0126705617870522,
Tomato,Fill square,Melanopareia_torquata_pD1,Reptiles,Birds,Unwebbed,1,-0.378851929415157,0.0393077291047748,-0.349606588332943,-0.0275250999686466,-0.186317608459121,-0.101099655006785,0.0275278366957985,-0.127003409524848,0.157923662461372,-0.0856457889396101,0.243415416199128,-0.0421492439450086,0.292563433278087,-0.0107066993949967,0.298525359756223,0.00109923768629609,0.265777446615544,0.0354670265930231,0.270682650376981,0.096811706867051,0.223789242547788,0.101898128219439,0.172401811540045,0.102519335645875,0.159730434923866,0.0764602196833803,0.139669864629237,0.050299386651252,0.0757343397417835,0.00970627356074249,-0.0607482657872765,-0.0237074298127861,-0.235089435896686,-0.01560500538354,-0.344768978137146,0.0235142451581185,
Gold,Fill square,Oceanodroma_leucorhoa_pD2,Reptiles,Birds,Webbed,4,-0.326812446262122,0.033298675679481,-0.286421014441838,-0.0120706577993748,-0.190683362875356,-0.0667398046176053,-0.0277686380385691,-0.0943890779303519,0.129273886696872,-0.0846080701353507,0.261596845441149,-0.0960252291302335,0.344884402842871,-0.0907822642365505,0.354311747871021,-0.0652827190773045,0.325067670691258,0.0165712833713972,0.34045760303287,0.0973655366256098,0.13647804980531,0.0687304517742423,-0.081499745459212,0.0791149949833497,-0.104955567001877,0.0617094914264356,-0.114412812955799,0.046906672216778,-0.154489750315178,0.0323187145320929,-0.218904056897312,0.0320993663148935,-0.277623756689623,0.0322322516484317,-0.315247057818118,0.0358208912655323,
Tomato,Fill square,Opisthocomus_hoazin_pD2,Reptiles,Birds,Unwebbed,1,-0.351744328788193,0.034651950830383,-0.310856101715421,-0.0347137684200478,-0.167219409781127,-0.137185295524801,0.0307799149403832,-0.162757754799295,0.161418897830544,-0.12060250525402,0.253441907711715,-0.0720362420011442,0.310092669181519,-0.0371104964274279,0.317462361667444,-0.0241143307922034,0.277225517744465,0.0215025388329259,0.286180378853647,0.102817318645988,0.21280713704221,0.114191325365324,0.130437282848242,0.10674114428999,0.110799561490414,0.0769679651806174,0.0995141740744071,0.0407377967175146,0.0435919744745793,0.00224230135544678,-0.0760063276759527,-0.0203783694299371,-0.223314112044359,-0.00292232391183162,-0.321264599589699,0.0249138607281973,
Tomato,Fill triang,Orycteropus_afer_mD1,Mammals,Non-boreoeutherian Mammals,Unwebbed,1,-0.347097841939298,-0.00227857430340287,-0.300636839892069,-0.0416240212809128,-0.169375903959342,-0.100549850713575,0.0188461482891857,-0.131176876698197,0.151603351257717,-0.128669425141266,0.2524589292855,-0.122564240995603,0.317348433731539,-0.0917346047380979,0.315919109052307,-0.0708004273534491,0.219013629448848,0.00609278028472661,0.249918548412581,0.13201258013574,0.167361491225504,0.158273573097233,0.0725482197317669,0.136870807494806,0.0400148319720392,0.114268750076401,0.0282481442823175,0.0790074906018269,-0.0212443974920425,0.0569111262244106,-0.121840161267023,0.0587825834393639,-0.242010848493589,0.05113170348068,-0.321316605022855,0.0187331089626404,
Tomato,Fill triang,Phalanger_orientalis_mD1,Mammals,Non-boreoeutherian Mammals,Unwebbed,1,-0.324658478127414,0.0184059905488682,-0.297176605767426,-0.0585209850151074,-0.175320925428766,-0.132692656343758,-0.0134640734512172,-0.17994652602403,0.113818970533259,-0.156033223856513,0.216340627955726,-0.117356910188755,0.288681720729953,-0.105409598935488,0.300028949782604,-0.0977097143537316,0.257419344692442,0.000136796215041871,0.282632644442887,0.126423849309135,0.163578794543388,0.200709041747951,0.0328511820625971,0.171347394818759,0.0227562115583383,0.135057688324481,0.00623914496768978,0.102535010442257,-0.0413943421998346,0.052908341092179,-0.127980833743731,0.0121030858317293,-0.232249137138405,0.00565148882050397,-0.301347614014283,0.0210277124360286,
Mediumturquoise,Fill triang,Phoca_vitulina_pD1,Mammals,Boreoeutherian Mammals,Flippered,5,-0.362408597564848,-0.0243884789987556,-0.315588948354973,-0.0431509749545413,-0.190211220129565,-0.104120261520971,-0.0105349806161822,-0.0569974847214123,0.132414183903665,-0.062683538066995,0.234942630625854,-0.0621602447310023,0.293672741170977,-0.0653461220702779,0.305492687788996,-0.0569808356017336,0.304772079379573,0.0221633555644579,0.308722874852206,0.117317482039027,0.236797662674958,0.103425612546964,0.143186382872961,0.100583720482572,0.112850613165769,0.0897156111540157,0.0877992538797397,0.0744224667896679,0.0207510693502866,0.0526743758232716,-0.0991272359567478,0.0250014626669628,-0.233101916511674,-0.00134212391434611,-0.32941697680006,-0.011327038487528,
Gold,Fill square,Phoebastria_irrorata_pD2,Reptiles,Birds,Webbed,4,-0.302512208503759,0.0131398545821011,-0.266529771998711,-0.0314803243636128,-0.167596822198726,-0.0844681405272147,-0.0133183718087695,-0.111501249046402,0.136306100466458,-0.10645332310974,0.267592256458423,-0.0925930452623583,0.351336223849572,-0.0888143832135743,0.366941915743498,-0.0730354854823302,0.362055506778454,0.000985451207913898,0.363302552831717,0.0837433672926611,0.177927858309888,0.0566889418101828,-0.0210713282737521,0.109763683712685,-0.0611237364239984,0.0981070224732289,-0.0830889554428416,0.0768024687130094,-0.110086607433704,0.0277411067319934,-0.169346978848308,0.00314808613196501,-0.23721842598831,0.0166289537721703,-0.286048860956991,0.0165512720910684,
Tomato,Fill square,Picus_viridus_pD2,Reptiles,Birds,Unwebbed,1,-0.344183854061897,0.0444190194539049,-0.294396607000456,-0.0435342915077119,-0.121486247323767,-0.169687334237722,0.0883043704728438,-0.212475431119512,0.205568208976116,-0.146816187077581,0.271775103443551,-0.0811792715751154,0.298381304165479,-0.037858775433836,0.294232005245806,-0.019136067114911,0.274707719221582,0.0223130981862794,0.274622308261066,0.0828393893251564,0.24411738003328,0.125513619714088,0.184200601686991,0.134110346150933,0.164771913253598,0.104917543187456,0.150098996177593,0.0663003711561477,0.0935882878563851,0.00942252791634341,-0.0336580209262809,-0.0358881956331328,-0.201129258529964,-0.0174319280139987,-0.309958469582672,0.0337612403638875,
